unique_id,ds,y
0,1990-01-01,0.6067846801000661
0,1990-01-02,0.5708998450005756
0,1990-01-03,0.6184230049971983
0,1990-01-04,0.6116339821405374
0,1990-01-05,0.6009655176515006
0,1990-01-06,0.6174531445891039
0,1990-01-07,0.6368503527509912
0,1990-01-08,0.6601270025452554
0,1990-01-09,0.6882529543799929
0,1990-01-10,0.6446092360157463
0,1990-01-11,0.6669160254019162
0,1990-01-12,0.6901926751961815
0,1990-01-13,0.6843735127476149
0,1990-01-14,0.7028008605014079
0,1990-01-15,0.5059191976582531
0,1990-01-16,0.3808072050140805
0,1990-01-17,0.3429826490984004
0,1990-01-18,0.3643195780764761
0,1990-01-19,0.3934153903193069
0,1990-01-20,0.4176619005216654
0,1990-01-21,0.4419084107240249
0,1990-01-22,0.4583960376616294
0,1990-01-23,0.490401431128743
0,1990-01-24,0.4128125984811941
0,1990-01-25,0.4225112025621377
0,1990-01-26,0.3352237658336453
0,1990-01-27,0.3061279535908145
0,1990-01-28,0.255695212369908
0,1990-01-29,0.2828513037965503
0,1990-01-30,0.2828513037965503
0,1990-01-31,0.2207802376785117
0,1990-02-01,0.2624842352265689
0,1990-02-02,0.3274648825688913
0,1990-02-03,0.3546209739955325
0,1990-02-04,0.3458922303226842
0,1990-02-05,0.4040838548083448
0,1990-02-06,0.4099030172569113
0,1990-02-07,0.4079632964407229
0,1990-02-08,0.3643195780764761
0,1990-02-09,0.3604401364440991
0,1990-02-10,0.3934153903193069
0,1990-02-11,0.3555908344036279
0,1990-02-12,0.3449223699145889
0,1990-02-13,0.3701387405250427
0,1990-02-14,0.3555908344036279
0,1990-02-15,0.3662592988926657
0,1990-02-16,0.3662592988926657
0,1990-02-17,0.3400730678741177
0,1990-02-18,0.3691688801169474
0,1990-02-19,0.3934153903193069
0,1990-02-20,0.3235854409365132
0,1990-02-21,0.2973992099179662
0,1990-02-22,0.3100073952231926
0,1990-02-23,0.3255251617527017
0,1990-02-24,0.281881443388456
0,1990-02-25,0.2663636768589458
0,1990-02-26,0.2372678646161151
0,1990-02-27,0.2324185625756438
0,1990-02-28,0.2159309356380393
0,1990-03-01,0.2343582833918323
0,1990-03-02,0.2847910246127388
0,1990-03-03,0.3090375348150984
0,1990-03-04,0.3216457201203247
0,1990-03-05,0.3643195780764761
0,1990-03-06,0.4263906441945158
0,1990-03-07,0.4079632964407229
0,1990-03-08,0.4079632964407229
0,1990-03-09,0.3885660882788357
0,1990-03-10,0.4011742735840621
0,1990-03-11,0.4205714817459492
0,1990-03-12,0.4205714817459492
0,1990-03-13,0.4079632964407229
0,1990-03-14,0.4118427380730999
0,1990-03-15,0.4108728776650056
0,1990-03-16,0.4564563168454409
0,1990-03-17,0.4874918499044602
0,1990-03-18,0.4613056188859122
0,1990-03-19,0.4128125984811941
0,1990-03-20,0.4205714817459492
0,1990-03-21,0.4176619005216654
